#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  7.40e+06  | 735961333|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.21985681|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.87667530|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.69738865|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.79326119|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.24222221|  PASSED  
        diehard_opso|   0|   2097152|     100|0.67679600|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.11961689|  PASSED  
         diehard_dna|   0|   2097152|     100|0.19808000|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.54808810|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.27192823|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.34620912|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.64660006|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.89734592|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.97753781|  PASSED  
        diehard_sums|   0|       100|     100|0.03872291|  PASSED  
        diehard_runs|   0|    100000|     100|0.72654677|  PASSED  
        diehard_runs|   0|    100000|     100|0.53871711|  PASSED  
       diehard_craps|   0|    200000|     100|0.39380687|  PASSED  
       diehard_craps|   0|    200000|     100|0.92578065|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.82248642|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.05947593|  PASSED  
         sts_monobit|   1|    100000|     100|0.98167092|  PASSED  
            sts_runs|   2|    100000|     100|0.69977402|  PASSED  
          sts_serial|   1|    100000|     100|0.84636157|  PASSED  
          sts_serial|   2|    100000|     100|0.87470469|  PASSED  
          sts_serial|   3|    100000|     100|0.59881151|  PASSED  
          sts_serial|   3|    100000|     100|0.91784226|  PASSED  
          sts_serial|   4|    100000|     100|0.56756167|  PASSED  
          sts_serial|   4|    100000|     100|0.71302243|  PASSED  
          sts_serial|   5|    100000|     100|0.48092439|  PASSED  
          sts_serial|   5|    100000|     100|0.11096091|  PASSED  
          sts_serial|   6|    100000|     100|0.42498447|  PASSED  
          sts_serial|   6|    100000|     100|0.95796954|  PASSED  
          sts_serial|   7|    100000|     100|0.34641909|  PASSED  
          sts_serial|   7|    100000|     100|0.07647305|  PASSED  
          sts_serial|   8|    100000|     100|0.63742481|  PASSED  
          sts_serial|   8|    100000|     100|0.85061766|  PASSED  
          sts_serial|   9|    100000|     100|0.11491598|  PASSED  
          sts_serial|   9|    100000|     100|0.49540177|  PASSED  
          sts_serial|  10|    100000|     100|0.64242709|  PASSED  
          sts_serial|  10|    100000|     100|0.81573345|  PASSED  
          sts_serial|  11|    100000|     100|0.40232103|  PASSED  
          sts_serial|  11|    100000|     100|0.85866170|  PASSED  
          sts_serial|  12|    100000|     100|0.83845160|  PASSED  
          sts_serial|  12|    100000|     100|0.48022102|  PASSED  
          sts_serial|  13|    100000|     100|0.87647468|  PASSED  
          sts_serial|  13|    100000|     100|0.70105926|  PASSED  
          sts_serial|  14|    100000|     100|0.98649034|  PASSED  
          sts_serial|  14|    100000|     100|0.99987541|   WEAK   
          sts_serial|  15|    100000|     100|0.78836356|  PASSED  
