#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  7.18e+06  |1616344042|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.49902432|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.25474793|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.03165397|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.25767730|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.20672267|  PASSED  
        diehard_opso|   0|   2097152|     100|0.25133362|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.66694775|  PASSED  
         diehard_dna|   0|   2097152|     100|0.75118125|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.64648928|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.11279025|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.41532341|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.65294377|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.41726522|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.88235090|  PASSED  
        diehard_sums|   0|       100|     100|0.30287804|  PASSED  
        diehard_runs|   0|    100000|     100|0.61241815|  PASSED  
        diehard_runs|   0|    100000|     100|0.93971074|  PASSED  
       diehard_craps|   0|    200000|     100|0.94690900|  PASSED  
       diehard_craps|   0|    200000|     100|0.88014864|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.66822887|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.23714996|  PASSED  
         sts_monobit|   1|    100000|     100|0.07263718|  PASSED  
            sts_runs|   2|    100000|     100|0.59150620|  PASSED  
          sts_serial|   1|    100000|     100|0.98865452|  PASSED  
          sts_serial|   2|    100000|     100|0.67923671|  PASSED  
          sts_serial|   3|    100000|     100|0.40038667|  PASSED  
          sts_serial|   3|    100000|     100|0.74590304|  PASSED  
          sts_serial|   4|    100000|     100|0.76395907|  PASSED  
          sts_serial|   4|    100000|     100|0.45655805|  PASSED  
          sts_serial|   5|    100000|     100|0.72571182|  PASSED  
          sts_serial|   5|    100000|     100|0.48061111|  PASSED  
          sts_serial|   6|    100000|     100|0.81233938|  PASSED  
          sts_serial|   6|    100000|     100|0.65075997|  PASSED  
          sts_serial|   7|    100000|     100|0.78242940|  PASSED  
          sts_serial|   7|    100000|     100|0.54454691|  PASSED  
          sts_serial|   8|    100000|     100|0.69263905|  PASSED  
          sts_serial|   8|    100000|     100|0.71216880|  PASSED  
          sts_serial|   9|    100000|     100|0.25173055|  PASSED  
          sts_serial|   9|    100000|     100|0.25828734|  PASSED  
          sts_serial|  10|    100000|     100|0.35354245|  PASSED  
          sts_serial|  10|    100000|     100|0.12568077|  PASSED  
          sts_serial|  11|    100000|     100|0.99890521|   WEAK   
          sts_serial|  11|    100000|     100|0.59350010|  PASSED  
          sts_serial|  12|    100000|     100|0.81969952|  PASSED  
          sts_serial|  12|    100000|     100|0.98941712|  PASSED  
          sts_serial|  13|    100000|     100|0.99975291|   WEAK   
          sts_serial|  13|    100000|     100|0.71872451|  PASSED  
          sts_serial|  14|    100000|     100|0.99917709|   WEAK   
          sts_serial|  14|    100000|     100|0.99773009|   WEAK   
          sts_serial|  15|    100000|     100|0.96041847|  PASSED  
          sts_serial|  15|    100000|     100|0.90680839|  PASSED  
          sts_serial|  16|    100000|     100|0.55058080|  PASSED  
          sts_serial|  16|    100000|     100|0.22192587|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.95111713|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.46876584|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.07937752|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.31077302|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.23549435|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.37517346|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.90181028|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.71075597|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.42126443|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.17021069|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.10316838|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.42217482|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.24582710|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.51767092|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.96320260|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.33004027|  PASSED  
