#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  3.87e+06  |2875296879|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.99918130|   WEAK   
      diehard_operm5|   0|   1000000|     100|0.95519259|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.99322594|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.74893023|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.42059845|  PASSED  
        diehard_opso|   0|   2097152|     100|0.87700402|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.99222170|  PASSED  
         diehard_dna|   0|   2097152|     100|0.35911520|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.00226568|   WEAK   
diehard_count_1s_byt|   0|    256000|     100|0.27476506|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.22547510|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.66934157|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.01189863|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.56308641|  PASSED  
        diehard_sums|   0|       100|     100|0.07556348|  PASSED  
        diehard_runs|   0|    100000|     100|0.92659108|  PASSED  
        diehard_runs|   0|    100000|     100|0.85370235|  PASSED  
       diehard_craps|   0|    200000|     100|0.28395180|  PASSED  
       diehard_craps|   0|    200000|     100|0.55328403|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.02946562|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.31874015|  PASSED  
         sts_monobit|   1|    100000|     100|0.31523761|  PASSED  
            sts_runs|   2|    100000|     100|0.84404109|  PASSED  
          sts_serial|   1|    100000|     100|0.04620127|  PASSED  
          sts_serial|   2|    100000|     100|0.86183041|  PASSED  
          sts_serial|   3|    100000|     100|0.33803378|  PASSED  
          sts_serial|   3|    100000|     100|0.78569585|  PASSED  
          sts_serial|   4|    100000|     100|0.91492427|  PASSED  
          sts_serial|   4|    100000|     100|0.79592107|  PASSED  
          sts_serial|   5|    100000|     100|0.05223527|  PASSED  
          sts_serial|   5|    100000|     100|0.01201397|  PASSED  
          sts_serial|   6|    100000|     100|0.06425952|  PASSED  
          sts_serial|   6|    100000|     100|0.48512550|  PASSED  
          sts_serial|   7|    100000|     100|0.71349200|  PASSED  
          sts_serial|   7|    100000|     100|0.46211596|  PASSED  
          sts_serial|   8|    100000|     100|0.45188416|  PASSED  
          sts_serial|   8|    100000|     100|0.15011654|  PASSED  
          sts_serial|   9|    100000|     100|0.21962899|  PASSED  
